OTUId	R10	R108	R11	R1	R12	R13	R14	R15	R16	R163	R163_2	R17	R18	R19	R20	R21	R2	R22	R23	R24	R25	R26	R27	R28	R29	R30	R31	R3	R32	R33	R34	R35	R36	R37	R38	R39	R40	R41	R4	R42	R43	R44	R48	R5	R6	R63	R7	R80	R8	R88	R9	R97
OTU_3	3887	1	0	0	0	337	0	61	3	2417	2106	0	23	26	4	6456	146	0	2	1850	0	2853	0	1115	0	2601	0	1	35	1202	2	0	3	986	667	749	0	2507	417	2	622	92	603	79	4	0	3960	1	4	18	827	840
OTU_6	2788	564	1171	473	688	874	527	2163	1877	728	686	704	2722	6203	3022	3605	3210	772	1529	1229	1286	1596	1168	2427	219	1633	1100	316	3520	4181	427	2270	618	737	2	667	346	862	1823	1369	1687	18	586	3243	1518	2793	1208	1	2091	42	357	121
OTU_37	245	0	1	2	8	9	5	42	19	41	36	1	28	145	49	307	33	3	11	260	0	89	16	183	0	151	11	0	38	73	1	8	1	291	874	14	0	59	76	16	32	41	67	92	6	7	88	0	22	0	36	42
OTU_53	184	0	0	0	0	0	0	0	0	5	0	0	0	0	0	197	0	0	0	77	0	8	0	16	0	154	0	0	0	3	0	0	0	104	0	3	0	13	0	0	2	0	5	0	0	0	26	0	0	0	6	78
OTU_25	427	0	0	0	0	2	0	9	18	3	3	0	8	17	1	91	1	0	0	27	1	25	1	90	0	141	1	3	4	23	0	0	0	17	544	2	1	21	12	0	9	11	105	5	0	0	24	2	2	12	11	27
OTU_1	2940	15932	11871	4444	4019	40671	29682	10299	20309	505	507	3770	51050	5762	24631	18115	8396	45773	19977	7604	9447	15153	7590	27299	1964	11761	3829	1358	2426	23635	1992	28169	12920	229	455	10649	749	2019	34312	12409	8215	2	55	23413	11304	2012	1443	1713	381	6	4536	360
OTU_121	10	0	0	0	0	0	0	0	0	64	54	0	0	0	0	17	0	0	0	5	0	8	0	2	0	8	0	0	0	1	0	0	0	0	0	0	1	4	0	0	1	0	2	0	0	0	14	0	0	0	2	11
OTU_5	3504	1144	1411	4302	2273	567	1821	1396	743	237	208	7874	1764	5084	3323	3704	1841	1628	1616	910	3962	625	1760	2364	282	1652	7955	5375	2731	2533	1397	2868	1152	1292	524	595	3237	786	1449	1983	1051	72	1396	1916	2000	1047	1318	32	858	249	163	159
OTU_21	805	1	1	77	12	0	4	1	3	33	23	10	6	12	3	482	10	4	1	837	3	89	1	28	0	496	6	664	8	13	345	0	2	1282	2203	1	1	14	4	0	4	22	131	1	0	0	21	1	1	10	396	495
OTU_4	1123	865	884	2953	2686	582	370	1118	4289	101	103	4195	4496	4367	2199	1676	2095	1053	2482	756	1895	1873	1322	2417	127	675	5849	2578	2469	2810	323	1746	731	479	10	493	1410	469	1187	1298	898	460	539	1302	1145	505	1066	8	4275	93	279	209
OTU_203	33	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	2	0	3	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11
OTU_335	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_7	36	1	13	82	896	0	76	5	3	1	4	57	3	19	8	38	0	92	18	101	9	1	43	3	0	23	10	11896	1	0	691	6	406	172	640	0	21	1	2	2	1	4	10	1	19	1	0	1	1	0	12	18
