OTUId;Empire;Kingdom;Phylum;Classes;Order;Class;Family;Genus
OTU_1;Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XX_unclassified;Dinophyceae_XX_unclassified
OTU_2;Eukaryota;Alveolata;Dinophyta;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.
OTU_3;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Pseudocalanus;Pseudocalanus_elongatus
OTU_4;Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Gyrodinium;Gyrodinium_dominans
OTU_5;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Paracalanus;Paracalanus_parvus
OTU_6;Eukaryota;Opisthokonta;Metazoa;Echinodermata;Echinodermata_X;Echinodermata_XX;Echinodermata_XX_unclassified;Echinodermata_XX_unclassified
OTU_7;Eukaryota;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified
OTU_8;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_M;Strombidiidae_M_unclassified;Strombidiidae_M_unclassified
OTU_9;Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XX_unclassified;Dinophyceae_XX_unclassified
OTU_10;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Lanice;Lanice_conchilega
OTU_11;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Temora;Temora_longicornis
OTU_12;Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Noctilucales;Noctiluca;Noctiluca_scintillans
OTU_13;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Centropages;Centropages_hamatus
OTU_14;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pseudo-nitzschia;Pseudo-nitzschia_delicatissima
OTU_15;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Macrostomorpha;Microstomum;Microstomum_papillosum
OTU_16;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Sabellaria;Sabellaria_alveolata
OTU_17;Eukaryota;Alveolata;Dinophyta;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-3;Dino-Group-II-Clade-3_X;Dino-Group-II-Clade-3_X_sp.
OTU_18;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Malacostraca_unclassified;Malacostraca_unclassified
OTU_19;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida_B;Strombidiida_B_X;Strombidiida_B_XX;Strombidiida_B_XX_sp.
OTU_20;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Ensis;Ensis_unclassified
OTU_21;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus_unclassified
OTU_22;Eukaryota;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified
OTU_23;Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Gyrodinium;Gyrodinium_unclassified
OTU_24;Eukaryota;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified
OTU_25;Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptophyceae_X;Cryptomonadales;Plagioselmis;Plagioselmis_prolonga
OTU_26;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Scyphozoa;Cyanea;Cyanea_unclassified
OTU_27;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae_I;Strobilidiidae_I_X;Strobilidiidae_I_X_sp.
OTU_28;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Pectinaria;Pectinaria_koreni
OTU_29;Eukaryota;Hacrobia;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picozoa_XXXX;Picozoa_XXXX_sp.
OTU_30;Eukaryota;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified;Eukaryota_unclassified
OTU_31;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Picochlorum;Picochlorum_sp.
OTU_32;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;Strombidium;Strombidium_sp.
OTU_33;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Minidiscus;Minidiscus_trioculatus
OTU_34;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_Clade-A.ABC.1-2
