OTUId	R10	R108	R11	R1	R12	R13	R14	R15	R16	R163	R163_2	R17	R18	R19	R20	R21	R2	R22	R23	R24	R25	R26	R27	R28	R29	R30	R31	R3	R32	R33	R34	R35	R36	R37	R38	R39	R40	R41	R4	R42	R43	R44	R48	R5	R6	R63	R7	R80	R8	R88	R9	R97
OTU_100	2398	0	8	0	0	2	5	10	0	0	0	1	0	4	19	244	2	1	0	0	19	24	0	8	2	139	2	1	1	9	0	0	0	0	0	103	1	23	0	1	5	0	82	1	2	3	8	127	0	483	5	1
OTU_1331	598	339	4	0	6	8	93	15	4	35	22	20	9	11	17	506	0	91	2	14	22	290	49	29	1	348	63	0	8	42	4	12	30	29	13	161	58	30	0	9	33	0	3453	2	0	79	3	1815	0	1689	65	175
OTU_86	578	0	0	0	0	2	1	0	0	0	0	0	0	0	0	649	1	0	0	48	0	215	0	0	0	805	0	0	0	6	1	0	0	318	707	31	1	12	0	0	6	0	0	1	1	0	3	0	0	0	131	0
OTU_75	493	554	230	0	89	242	56	200	201	138	158	180	638	473	227	496	0	74	144	133	186	390	225	326	51	303	202	0	320	494	2	473	60	1	2	191	719	132	1	153	261	0	2368	3	7	621	4	319	4	1397	156	255
OTU_1	24900	508	42443	5	13578	69332	162	4241	27516	904	806	6542	58888	28668	61444	7462	13	1339	18428	406	61345	30321	30729	21703	38677	8116	10081	34	18122	30103	2417	87459	10107	47	39	21279	46402	12184	17	60435	17332	16	1195	511	1049	12188	105	885	84	1007	17823	1005
OTU_31	5187	182	1	0	2	44	8	1	4	360	264	1	11	7	6	1721	0	14	64	273	0	151	85	248	1	2994	2	0	16	71	0	0	5	0	0	1512	0	13	1	0	36	0	591	2	0	19	10	75	1	1213	84	244
OTU_72	244	0	0	0	1	0	0	0	1	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	780	0	15
OTU_9	1799	474	433	1	369	4878	775	23398	437	1894	1679	724	2018	15356	954	890	9	725	451	50	917	1664	1739	2243	225	487	873	4	15299	21910	18	1410	519	45	0	2179	1659	1769	74	403	12054	0	2007	224	36	1844	21	944	25	1511	435	677
OTU_23	1363	10129	592	0	98	365	402	546	788	1805	1727	301	481	717	206	3190	0	1602	3712	15	985	3136	1320	569	102	1885	804	2	404	883	149	780	702	47	20	840	769	452	5	210	475	88	6199	1	14	6001	14	38767	3	4961	1065	2057
OTU_24	1362	69	14	0	1	21	9	0	0	179	143	0	3	0	4	1300	0	12	0	69	0	225	0	9	0	1274	0	0	0	27	0	0	17	25	0	80	0	19	1	2	5	741	10770	0	0	1	3	69	0	5097	119	408
OTU_2	3675	3	899	1	33	1592	65	10657	570	11469	9361	121	1607	6027	3212	801	5	2164	23385	88	107	2168	17755	13922	703	693	176	3	5671	11467	37	1611	590	4	2	22778	195	629	49	699	6666	3	2678	382	192	14404	76	600	24	25906	266	948
OTU_12	1195	2	0	4	198	1	16180	0	1	50	52	2894	1	1	702	7001	3	170	0	30	0	298	66	18	1569	4941	2371	619	10	13	31135	36	410	0	16	70	2207	28	0	500	29	0	1	3	1	1324	21	0	1	0	71	0
OTU_16	7682	0	0	0	0	3930	0	2	1	0	0	1	31	0	0	5144	0	1	0	19	0	122	0	588	0	2501	0	0	0	41	0	0	0	1	48	451	0	329	0	1	18	0	0	1	2	1	118	3	0	0	1676	0
OTU_4	5018	3047	56	0	179	389	885	276	91	277	249	144	355	118	349	4434	0	774	63	138	412	4409	512	498	75	2470	1063	2	136	896	89	233	235	269	49	1618	1117	985	5	173	587	6	23846	8	7	883	33	15484	1	12073	955	2162
OTU_8	2380	4496	608	1	1612	704	4	231	2	61	60	4751	45	754	680	2386	3	1505	565	7089	5	2373	415	3182	55	3595	14057	17	2457	15528	751	11	1299	4343	94	9834	3822	434	14	300	4442	16	4832	9	1	288	17	6016	57	1857	388	433
OTU_88	1226	1	5	1	0	6	7	5	2	5	11	0	0	10	11	1059	0	4	7	86	0	58	60	10	0	947	2	0	2	13	3	2	0	0	80	26	0	13	0	2	4	0	92	0	0	9	1	70	0	88	451	17
OTU_39	958	0	2	0	2	140	0	8	0	0	0	2	6	44	1	1010	1	2	0	573	14	1637	0	514	0	387	0	0	30	385	0	0	0	0	0	1704	6	116	0	1	73	0	6	0	0	0	9	32	0	7	250	1
OTU_60	447	33	0	0	0	6	6	3	0	468	408	0	0	0	1	326	0	6	5	59	0	35	1	18	1	360	0	0	7	15	1	2	0	0	0	23	3	1	0	1	1	8	174	0	0	40	1	56	0	829	56	78
OTU_41	1081	3	0	0	0	127	2	110	11	2868	2433	0	51	37	6	1257	0	9	0	0	5	761	18	399	2	621	1	0	63	333	0	3	0	0	0	424	0	129	5	0	91	0	1380	7	2	22	4	27	0	393	148	403
OTU_1597	227	18	37	0	30	110	139	74	65	75	70	32	103	93	17	383	1	34	113	10	34	699	65	234	2	247	64	0	94	256	0	59	12	2	0	394	91	71	2	16	129	0	174	0	0	27	1	48	0	518	129	133
OTU_375	513	0	0	0	0	39	31	23	0	768	741	1	0	0	0	257	1	0	0	119	0	228	0	316	0	121	5	1	13	94	0	1	0	0	34	368	0	48	1	0	39	0	122	0	0	1	3	27	0	155	31	7
OTU_34	1105	2	0	0	0	78	12	23	3	921	843	0	4	61	1	1470	0	0	1	30	0	607	0	405	0	700	0	0	46	223	0	1	0	0	215	1479	2	84	9	1	99	5	1045	0	0	1	9	0	1	541	143	965
OTU_1734	956	0	0	0	0	495	0	0	0	0	0	0	3	0	0	553	0	0	0	0	0	16	0	55	0	327	0	0	0	8	0	0	0	0	5	80	1	40	0	0	2	0	0	0	0	0	20	1	0	0	195	0
OTU_432	2051	2393	1301	0	958	1501	1716	1985	600	1642	1321	1995	1728	3959	921	1596	0	1891	1642	45	974	3020	5296	3214	203	1075	3578	10	2438	6426	14	1850	1365	73	1	2906	3173	650	12	543	3588	0	2126	11	44	1165	13	1876	21	3014	1103	688
