stationcode,StartDate,EndDate,Latitude,Longitude,Nutr_NH4,Nutr_NO2,Nutr_NO3,Nutr_NOX,Nutr_PO4,Nutr_SiO2,Pigm_Chlorophyll_c3,Pigm_Chlorophyll_c2,Pigm_Chlorophyllide_a,Pigm_Pheophorbide_a,Pigm_Peridine,Pigm_19butanoyloxyfucoxanthin,Pigm_Fucoxanthin,Pigm_Neoxanthine,Pigm_Prasinoxanthin,Pigm_19hexanoylooxyfucoxanthine,Pigm_Diadinoxanthin,Pigm_Antheraxanthin,Pigm_Alloxanthin,Pigm_Diatoxanthin,Pigm_Zeaxanthin,Pigm_Chlorophyll_b,Pigm_Echinenone,Pigm_Chlorophyll_a,Pigm_Pheophytin_a,Pigm_BetaCarotene,CTD_Pressure_3m,CTD_Temperature_3m,CTD_Conductivity_3m,CTD_Obs_3m,CTD_Altimeter_3m,CTD_Par_3m,CTD_FlECO.AFL_3m,CTD_Sbeox_3m,CTD_Sbeox0PS_3m,CTD_Salinity_3m,CTD_SvCM_3m,CTD_Density_3m,Zoopl_Amphipoda,Zoopl_Annelida,Zoopl_Anomura,Zoopl_Appendicularia,Zoopl_Brachyura.zoe,Zoopl_Branchiopoda,Zoopl_Calanoidea,Zoopl_Caridae.zoe,Zoopl_Chaetognatha,Zoopl_Cirripeda.cypris,Zoopl_Cirripeda.nauplius,Zoopl_Cnidaria,Zoopl_Ctenophora,Zoopl_Cumacea,Zoopl_Echinodermata,Zoopl_Harpacticoida,Zoopl_Mollusca,Zoopl_Mysidae,Zoopl_Noctiluca,Zoopl_Pisces.egg,Zoopl_Pisces.larvae,Zoopl_Porcellanidae.zoe,Turb_Secchi,UW_id_nav,UW_OctansHeading,UW_OdomDepth200khz,UW_CourseOverGround,UW_SpeedOverGround,UW_OdomDepth33khz,UW_NavDepth50khz,UW_Speedlog,UW_FLRTchla,UW_Salinity,UW_Temperature,UW_RelativeHumidity,UW_WindDirection,UW_WindSpeed,UW_AirPressure,UW_SoundVelocity,UW_WaterFlow,pico_conc_RWS,nano_conc_RWS,micro_conc_RWS,Synechoccocus_conc_RWS,pico_totFLR_RWS,nano_totFLR_RWS,micro_totFLR_RWS,synechoccocus_totFLR_RWS,Synechoccocus_conc_CNRS,pico_conc_CNRS,nano_conc_CNRS,micro_conc_CNRS,synechoccocus_totFLR_CNRS,pico_totFLR_CNRS,nano_totFLR_CNRS,micro_totFLR_CNRS,nano_totFLR_VLIZ,micro_totFLR_VLIZ,macro_totFLR_VLIZ,pico_totFLR_VLIZ,pico_conc_VLIZ,nano_conc_VLIZ,micro_conc_VLIZ,macro_conc_VLIZ,Chlorophytes,Cyanobacteria,Diatoms,Dinoflagellates,Euglenophytes,Phaeocystis,FluoroProbeCNRS,StatParam,Fv.Fm,Sigma,NPQ,NSV,rETR,RCII,JVPII.Sigma,aLHII,JVPII.aLHII,Chl.2..mcg.l.,TSM.2..mg.l.,Kd.2..1.m.,BO2_curvelmean_ss,MS_biogeo05_dist_shore_5m,Depth,Bacillaria,Biddulphia,Brockmanniella,CentricDiatom,Cerataulina,Ceratium,Chaetoceros,Ditylum,Eucampia,Guinardia,Helicotheca,Lauderia,Leptocylindrus,Leptocylindus,Lithodesmium,Meuniera,Navicula,Noctiluca,Odontella,Paralia,Pleurosigma/Gyrosigma,Protoperidinium,Pseudonitzschia,Rhizosolenia,Skeletonema,Thalassionema,Thalassiosira,Triceratium,Unknown,Phaeocystis_NGS,Diatoms_NGS,Chlorophytes_NGS,Cryptophytes_NGS,Dinoflagellates_NGS,Euglenophytes_NGS,Cyanobacteria_NGS
1,05/11/2017 21:33,05/11/2017 21:37,51.270728,2.9050207,1.63,0.17,3.92,4.09,0.1,5.26,0.108027,0.312911,1.576159,0,0,0,1.959511,0,0,0,0.268598,0.044981,0.017486,0.039629,0,0,0,4.719657,0,0.07346,3.026,11.9297,37600,1.8042,17.37,15.7,1.3122,7.794,88.691,32.6939,1493.88,1024.8252,0,2.285714286,0,224,0,0,925.7142857,6.857142857,0,0,11.42857143,0,36.57142857,4.571428571,107.4285714,0,0,0,7220.571429,2.285714286,0,0,NA,57736,247.93,7,240.2,1.3,6.94,7,0.57,3.73,31.317,12.157,96,117.7,5.3,0.994,1493.26,0.84,991.514453,12101.49042,2506.638,5.57,700240.4393,39148980.84,128497858,1940,29.01854175,1872.196263,22302.25029,5319.398893,3420.185368,826688.2222,149174043.5,256495154.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000389254,3.549568174,0.000159753,0.000370689,1.169212626,17.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041594468,8,8.182407417,0,0,0,0.994361464,0,0,1.983881585,1.987444621,3.978268643,49.67140072,0.496130185,0.496130185,0,0,0,0,0,0.994361464,15.38935828,6.451521612,0,0,1261.598907,135.5966698,0,0,0,0,0,0.39,39.33,0.19,0.14,113.92,0.00,0.01
2,05/08/2017 14:37,05/08/2017 14:37,51.1849527,2.6989522,7.22,0.17,3.59,3.76,0.46,7.71,0,0.107881,0.337748,0,0,0,1.006266,0,0,0,0.100503,0.010281,0.008229,0.018116,0,0,0,2.106628,0,0.039939,3.026,12.1536,36600,10.044,7.28,1.00E-12,7.0099,7.4185,84.243,31.6157,1493.36,1023.9471,0,44.8,3.2,204.8,28.8,0,969.6,1.6,3.2,0,3.2,0,11.2,1.6,12.8,0,0,0,3268.8,4.8,3.2,0,NA,864,289.86,8.3,303.4,0.5,8.26,8.2,1.04,1.49,32.588,11.8135,88,14.5,11.97,1.022,1493.6,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48167342,4054373.61,764346.59,4254845,5728.422,18527.366,998.03056,22.786082,0,0,2.096990401,0,0,0.009609697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039250858,7,8.896443329,0,0,0,19.8809927,0,0,9.947546784,492.3019309,0,4.966722956,0,0,0,0,34.82714571,0,49.72363305,4.972650423,577.0871223,9.939373379,0,0,5351.555716,969.7519231,0,0,14.92019721,0,0,0.00,1.81,0.10,0.01,178.34,0.00,0.02
3,05/08/2017 17:25,05/08/2017 17:29,51.0981638,2.1977093,0.6,0.04,0.37,0.41,0.12,2.16,0.49191,0.139943,1.215894,0,0,0.098991,1.005138,0,0.092185,0,0.130583,0,0,0.016984,0,0,0,2.142076,0,0.009628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.523809524,7.619047619,0,0,0,0,1056,1.523809524,1.523809524,1.523809524,0,0,0,7.619047619,3.047619048,0,0,0,1897.142857,0,0,0,NA,2876,265.41,24.65,221.7,1.2,0.76,24.3,0.31,4.8,34.223,11.4353,81,11,13.66,1.023,1494.25,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102950206,1475679.13,521968.77,1577859,3369.362,26548.525,464.41933,30.187253,0,0.005429364,0.892289351,1.75E-05,0.002174637,1.242189163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057181764,10,17.92153839,0,0,0,3.453063506,0,0,0.493754012,3.94116254,0.493218249,0,0.493218249,0,0,0,0.491690432,0,21.69374599,0,13.80019043,2.958853202,0,0,204.5774805,29.08217865,0,0,2.957325385,0,0,0.13,1.60,0.41,0.04,511.84,0.02,0.01
4,05/08/2017 19:24,05/08/2017 19:24,51.1885285,2.185551,0.95,0.1,0.51,0.61,0.08,2.41,0.403173,0.125082,0.726159,0,0,0.096453,0.860459,0,0,0,0.119436,0,0,0.011889,0.015288,0,0,1.777467,0,0.012838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4197,26.2,28.03,177.2,0.8,28.06,28.2,1.48,4.93,34.009,11.3499,83,9.2,10.41,1.025,1493.72,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166100255,2598943.88,1078874.65,3677147,8128.832,50095.949,892.99557,77.172447,0,0.053250515,0.685422436,0.000129358,0.000285053,1.038412577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051308472,19,26.38479416,0,0,0,0.977302368,0,0.488424343,1.956304394,0.490124001,0,0,1.467426369,0,0,0,0,0.490124001,1.467426369,2.932699399,3.912155107,0.488878025,0,0.490124001,15.65405801,9.295928194,0,0,0,0,0,0.05,0.51,0.51,0.02,837.70,0.00,0.01
5,05/08/2017 20:50,05/08/2017 20:50,51.0120288,1.902171,0.84,0.03,0.19,0.22,0.08,2.1,0.320224,0.236541,0,0,0,0.078685,0.75893,0,0.067783,0,0.101919,0,0,0,0,0,0,1.701507,0,0.009628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.619047619,4.571428571,1.523809524,1.523809524,0,641.5238095,0,6.095238095,0,0,0,0,0,6.095238095,12.19047619,0,0,518.0952381,0,0,0,NA,5338,312.99,NA,326.5,3,26.49,27.1,5.13,9.64,34.295,11.4942,82,23,12.88,1.024,1494.54,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167641230,3152619.84,2703364.1,4891138,9425.726,50233.056,957.5666,105.63901,0,0.004260582,0.12665491,4.48E-05,7.98E-05,1.570459818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078174122,7,22.63981428,0,0,0,3.900446098,0,0,0,0.487163248,0,0,0.486878621,0,0,0,0,0,2.924549546,0,19.49246128,3.898876042,0,0.487163248,3.41114354,4.386323918,0,0,0,0.487163248,0,0.63,6.84,2.71,0.19,1230.75,0.01,0.09
6,05/08/2017 23:50,05/08/2017 23:51,50.8380575,1.4943462,0.44,0.07,0.82,0.89,0.06,2.27,0.357841,0.274932,0,0,0,0.052034,0.756391,0,0.010845,0,0.095549,0,0.007714,0,0.01911,0,0,2.278804,0,0.023536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.333333333,1,1,0.333333333,0,125.6666667,0,0,0,0.666666667,0,0,0,0.333333333,1,0,0,3,0,0.333333333,0.666666667,NA,7503,266.97,NA,342.2,1.8,0.87,35.1,4.07,6.73,34.281,11.5473,83,29.9,5.9,1.025,1494.71,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000105315,0.102895207,0.112728467,0,0,2.063070899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085907005,14,35.39929245,0,0,0,1.457655119,0,0,0,0,0,0,0.48588504,0,0,0,0,0,0.97162847,0,2.91488541,0.97162847,0.48588504,0,0.972809962,0,0,0,0,0,0,0.08,1.89,0.57,2.21,317.53,0.00,0.04
7,05/09/2017 02:05,05/09/2017 02:06,50.4908703,1.5201343,0.17,0.01,0.15,0.16,0.05,0.66,0.322153,0.209295,0,0,0,0.04315,0.665015,0.070486,0.075917,0,0.081216,0,0,0,0,0,0,1.488819,0,0.009628,4.035,11.1061,39200,0.8389,30.05,31,1.1478,8.8495,100.426,35.0138,1493.83,1026.7852,2.285714286,16,0,48,27.42857143,4.571428571,1115.428571,0,2.285714286,6.857142857,0,0,4.571428571,4.571428571,114.2857143,2.285714286,0,0,0,13.71428571,2.285714286,0,NA,9138,26.29,9.89,41.5,1,9.86,10.3,3.71,5.58,33.961,11.7042,82,8.6,7.48,1.024,1494.86,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47536723.3,567793.41,262122.6,1854372,3379.009,15065.4631,261.096587,11.434886,0.001852518,0,0.184369526,1.57E-05,0,1.302562188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045377478,4,9.775542641,0,0,0,0,0,0,22.42592223,0,0,62.36778781,1.948178453,0,0,0,0,0,11.20230796,0,43.36762322,3.412191685,0,3.896290083,0.975254348,11.21114661,0,0,0,0,0,0.01,0.15,0.04,0.05,17.65,0.00,0.00
8,05/09/2017 18:17,05/09/2017 18:18,50.6747843,1.1866715,0.37,0.01,0.1,0.11,0.03,0.91,0.053531,0.054491,0,0,0,0.010153,0.164985,0.012335,0.017624,0,0.035035,0,0.011572,0.006369,0.010033,0.01416,0,0.478549,0,0.007489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,16.64,5.12,19.2,0,989.44,8.96,0,0,6.4,3.84,3.84,0,55.04,2.56,0,0,7.68,1.28,3.84,19.2,NA,20788,314.13,NA,213,1.5,22.49,31,0.05,NA,34.802,11.0986,72,42.1,9.91,1.016,1493.78,0.84,2266.9635,6500.18657,65.15222,1230,1111150.3,25999390,3177807.493,530000,4020.281402,3369.086303,6162.923339,16.15868731,433115.8386,1667105.908,16840293.05,419679.8901,16326593,524407.64,67924.28,1250368,3647.414,5975.0158,64.55599,3.586444,0.00591327,0.034006418,0.010138971,0,0.178323505,0.250117802,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07561744,34,40.98063766,0,0,0,0,0,1.94906194,0,0,0,133.3861542,0,0,0,0,0,0.974848898,2.436177336,0,1.946571763,3.900631806,0.973594935,0.975467005,0,2.432433195,0,0,0,0,0,0.01,0.60,1.32,1.00,250.03,0.00,0.25
9,05/09/2017 08:29,05/09/2017 08:34,50.8800283,0.8973595,0.59,0.07,2.83,2.9,0.1,0.95,0.352375,0.288968,0,0,0,0.097017,1.163072,0.035504,0,0,0.159956,0,0.028115,0.017361,0.020384,0.050346,0,2.24842,0,0.035185,3.026,11.3717,39300,1.9353,14.25,1.00E-12,8.5822,8.5188,97.146,34.8967,1494.59,1026.6407,0,0.307692308,0,1.923076923,0.076923077,0,34.69230769,0,0,0,0,0,0.076923077,0,0.307692308,13.76923077,0,0,54.61538462,1,0,0,240,13786,310.91,19.04,145.8,0,19.49,19,0.36,3.52,34.75,11.1824,73,65.4,6.28,1.022,1494,0.84,11434.3487,39991.858,295.90724,2960,11689293.2,196855674,3486690.5,1420000,10054.5107,17545.83227,30870.32153,624.9052942,1294196.103,5514737.506,119786846.1,29397959.01,57591363,329512.47,567486.2,4592873,14168.94,18426.6642,135.196103,11.425025,0.006937154,0.102331212,0.042190273,1.60E-05,0.737063526,1.359861906,12.498,meanoneuphoticlayer,0.26,3.98,0.15,3.61,33.39,24.5,0.48,0.24,0.72,5.07,5.93,0.47,0.077663794,5,18.85268005,3.902582098,0,0,0,0,0.975752551,1.950315989,0.487900078,0,223.8706877,8.292921795,0,0,0,0,3.901060086,1.951457498,0,2.926877151,1.9511246,1.46365263,0.975752551,1.951029391,8.293349568,0,0,0.48747197,0,2.43859657,0.16,0.89,15.04,9.20,275.89,0.01,0.92
10,05/09/2017 06:37,05/09/2017 06:41,50.702759,0.8800673,0.33,0.02,0.17,0.19,0.04,0.78,0.049513,0.037979,0,0,0.025651,0.010153,0.270744,0,0,0,0.049367,0,0,0.009058,0.008281,0,0,0.389929,0,0.005706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.37037037,2.37037037,0,2.37037037,0,513.1851852,0,2.37037037,0,0,0,5.925925926,0,61.62962963,22.51851852,0,0,14.22222222,0,2.37037037,0,650,12424,291.72,NA,173.7,0.7,NA,35.9,0.28,0.54,34.94,10.8981,84,16.6,7.42,1.023,1493.24,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88836440,788085.208,173283,8371820,16118.19,29757.102,158.190663,8.62858,0,0.039328652,0.007673227,0.173944521,1.56E-05,0.16893803,1.028,meanoneuphoticlayer,0.32,3.52,0.21,2.46,33.88,3.52,0.36,0.23,0.56,NA,NA,NA,0.068832673,23,34.71445648,0.989515057,0,0,0,0.495736665,4.946990816,9.396491563,0.493193924,0,1478.503794,2.470265765,0,0,0,0,44.48068496,1.980988386,0,3.460570158,1.973360164,0.493778392,6.92035098,1.976487373,0.493193924,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
